aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Centaurea melitensis,APC,https://id.biodiversity.org.au/taxon/apni/51268021,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51268021,Centaurea melitensis,L.,Species,accepted,Asteraceae,Magnoliidae,"WA (naturalised), NT (naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised), LHI (formerly naturalised), NI (naturalised), ACT (formerly naturalised), Vic (naturalised), Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51268020
Centaurium pulchellum,APC,https://id.biodiversity.org.au/node/apni/2908594,accepted,misapplied,https://id.biodiversity.org.au/node/apni/2908594,Centaurium pulchellum,(Sw.) Druce,Species,accepted,Gentianaceae,Magnoliidae,"WA (naturalised), SA (naturalised), Vic (naturalised)",https://id.biodiversity.org.au/tree/51354547/51237871
Centipeda,APC,https://id.biodiversity.org.au/taxon/apni/51295046,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51295046,Centipeda,Lour.,Genus,accepted,Asteraceae,Magnoliidae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51244002
Centipeda cunninghamii,APC,https://id.biodiversity.org.au/node/apni/2916674,accepted,pro parte misapplied,https://id.biodiversity.org.au/node/apni/2916674,Centipeda cunninghamii,(DC.) A.Braun & Asch.,Species,accepted,Asteraceae,Magnoliidae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51261002
Centipeda minima subsp. macrocephala,APC,https://id.biodiversity.org.au/node/apni/2906001,accepted,NA,https://id.biodiversity.org.au/node/apni/2906001,Centipeda minima subsp. macrocephala,N.G.Walsh,Subspecies,accepted,Asteraceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51244015
Centipeda thespidioides,APC,https://id.biodiversity.org.au/node/apni/2894187,accepted,pro parte misapplied,https://id.biodiversity.org.au/node/apni/2894187,Centipeda thespidioides,F.Muell.,Species,accepted,Asteraceae,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/tree/51354547/51244010
Centrolepis aristata,APC,https://id.biodiversity.org.au/taxon/apni/51270456,accepted,isonym,https://id.biodiversity.org.au/taxon/apni/51270456,Centrolepis aristata,(R.Br.) Roem. & Schult.,Species,accepted,Centrolepidaceae,Magnoliidae,"WA, SA, NSW, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51270455
Centrolepis drummondiana,APC,https://id.biodiversity.org.au/node/apni/2920474,accepted,isonym,https://id.biodiversity.org.au/node/apni/2920474,Centrolepis drummondiana,(Nees) Walp.,Species,accepted,Centrolepidaceae,Magnoliidae,"WA, SA",https://id.biodiversity.org.au/tree/51354547/51216387
Centrolepis exserta,APC,https://id.biodiversity.org.au/taxon/apni/51270476,accepted,isonym,https://id.biodiversity.org.au/taxon/apni/51270476,Centrolepis exserta,(R.Br.) Roem. & Schult.,Species,accepted,Centrolepidaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51270475
Centrolepis strigosa,APC,https://id.biodiversity.org.au/taxon/apni/51270485,accepted,isonym,https://id.biodiversity.org.au/taxon/apni/51270485,Centrolepis strigosa,(R.Br.) Roem. & Schult.,Species,accepted,Centrolepidaceae,Magnoliidae,"WA, SA, Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51270484
Centrolepis strigosa subsp. rupestris,APC,https://id.biodiversity.org.au/node/apni/2909468,accepted,NA,https://id.biodiversity.org.au/node/apni/2909468,Centrolepis strigosa subsp. rupestris,D.A.Cooke,Subspecies,accepted,Centrolepidaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51216371
Cephalipterum drummondii,APC,https://id.biodiversity.org.au/node/apni/2916225,accepted,NA,https://id.biodiversity.org.au/node/apni/2916225,Cephalipterum drummondii,A.Gray,Species,accepted,Asteraceae,Magnoliidae,"WA, SA",https://id.biodiversity.org.au/tree/51354547/51244832
Cerastium glomeratum,APC,https://id.biodiversity.org.au/node/apni/2903560,accepted,NA,https://id.biodiversity.org.au/node/apni/2903560,Cerastium glomeratum,Thuill.,Species,accepted,Caryophyllaceae,Magnoliidae,"WA (naturalised), NT (doubtfully naturalised), SA (naturalised), Qld (naturalised), NSW (naturalised), LHI (naturalised), NI (naturalised), ACT (naturalised), Vic (naturalised), Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51263432
Cerastium semidecandrum,APC,https://id.biodiversity.org.au/node/apni/2918750,accepted,misapplied | pro parte misapplied,https://id.biodiversity.org.au/node/apni/2918750,Cerastium semidecandrum,L.,Species,accepted,Caryophyllaceae,Magnoliidae,"Vic (naturalised), Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51235143
Cerastium vulgare,APC,https://id.biodiversity.org.au/node/apni/2902721,accepted,NA,https://id.biodiversity.org.au/node/apni/2902721,Cerastium vulgare,Hartm.,Species,accepted,Caryophyllaceae,Magnoliidae,"WA (naturalised), Qld (formerly naturalised), NSW (naturalised), LHI (naturalised), NI (naturalised), ACT (naturalised), Vic (naturalised), Tas (naturalised)",https://id.biodiversity.org.au/tree/51354547/51265804
Chamaecrista absus,APC,https://id.biodiversity.org.au/taxon/apni/51250680,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51250680,Chamaecrista absus,(L.) H.S.Irwin & Barneby,Species,accepted,Fabaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51250679
Chamaecrista absus var. absus,APC,https://id.biodiversity.org.au/taxon/apni/51250669,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51250669,Chamaecrista absus var. absus,NA,Varietas,accepted,Fabaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51250668
Chamaecrista exigua var. exigua,APC,https://id.biodiversity.org.au/taxon/apni/51285117,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51285117,Chamaecrista exigua var. exigua,NA,Varietas,accepted,Fabaceae,Magnoliidae,Qld,https://id.biodiversity.org.au/tree/51354547/51285116
Chamaecrista rotundifolia var. rotundifolia,APC,https://id.biodiversity.org.au/taxon/apni/51250760,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51250760,Chamaecrista rotundifolia var. rotundifolia,NA,Varietas,accepted,Fabaceae,Magnoliidae,"WA (naturalised), NT (naturalised), Qld (naturalised), NSW (naturalised), LHI (naturalised)",https://id.biodiversity.org.au/tree/51354547/51250759
Chamaecrista symonii,APC,https://id.biodiversity.org.au/node/apni/2898159,accepted,NA,https://id.biodiversity.org.au/node/apni/2898159,Chamaecrista symonii,Pedley,Species,accepted,Fabaceae,Magnoliidae,"WA, NT, Qld",https://id.biodiversity.org.au/tree/51354547/51222967
Chamaescilla corymbosa,APC,https://id.biodiversity.org.au/node/apni/2920316,accepted,NA,https://id.biodiversity.org.au/node/apni/2920316,Chamaescilla corymbosa,(R.Br.) F.Muell. ex Benth.,Species,accepted,Asparagaceae,Magnoliidae,"WA, SA, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51211258
Chamaescilla corymbosa var. corymbosa,APC,https://id.biodiversity.org.au/node/apni/2905196,accepted,NA,https://id.biodiversity.org.au/node/apni/2905196,Chamaescilla corymbosa var. corymbosa,NA,Varietas,accepted,Asparagaceae,Magnoliidae,"WA, SA, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51211260
Chamaescilla spiralis,APC,https://id.biodiversity.org.au/node/apni/2920740,accepted,NA,https://id.biodiversity.org.au/node/apni/2920740,Chamaescilla spiralis,(Endl.) Benth.,Species,accepted,Asparagaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51211262
Chamaexeros fimbriata,APC,https://id.biodiversity.org.au/node/apni/2911991,accepted,NA,https://id.biodiversity.org.au/node/apni/2911991,Chamaexeros fimbriata,(F.Muell.) Benth.,Species,accepted,Asparagaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51211117
Chamelaucium ciliatum,APC,https://id.biodiversity.org.au/node/apni/2894608,accepted,NA,https://id.biodiversity.org.au/node/apni/2894608,Chamelaucium ciliatum,Desf.,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51232631
Chamelaucium pauciflorum,APC,https://id.biodiversity.org.au/node/apni/2917574,accepted,NA,https://id.biodiversity.org.au/node/apni/2917574,Chamelaucium pauciflorum,(Turcz.) Benth.,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51232638
Chamelaucium sp. Coolcalalya (A.H.Burbidge 4233),APC,https://id.biodiversity.org.au/node/apni/2918443,accepted,NA,https://id.biodiversity.org.au/node/apni/2918443,Chamelaucium sp. Coolcalalya (A.H.Burbidge 4233),WA Herbarium,Species,accepted,Myrtaceae,Magnoliidae,WA,https://id.biodiversity.org.au/tree/51354547/51232648
Cheilanthes,APC,https://id.biodiversity.org.au/taxon/apni/51293671,accepted,NA,https://id.biodiversity.org.au/taxon/apni/51293671,Cheilanthes,Sw.,Genus,accepted,Pteridaceae,Polypodiidae,"WA, NT, SA, Qld, NSW, LHI, NI, ACT, Vic, Tas",https://id.biodiversity.org.au/tree/51354547/51285879
