original_name,cleaned_name,aligned_name,source,known,checked,stripped_name,mismatch_reason,could_match,APC_link
Brassicaceae sp.,Brassicaceae sp.,NA,NA,FALSE,TRUE,brassicaceae sp,Genus sp. ID,Brassicaceae,
Bromus sp.,Bromus sp.,NA,NA,FALSE,TRUE,bromus sp,Genus sp. ID,Bromus,
Buchanania sp.,Buchanania sp.,NA,NA,FALSE,TRUE,buchanania sp,Genus sp. ID,Buchanania,
Bulbine sp.,Bulbine sp.,NA,NA,FALSE,TRUE,bulbine sp,Genus sp. ID,Bulbine,
Caladenia sp.,Caladenia sp.,NA,NA,FALSE,TRUE,caladenia sp,Genus sp. ID,Caladenia,
Calandrinia sp.,Calandrinia sp.,NA,NA,FALSE,TRUE,calandrinia sp,Genus sp. ID,Calandrinia,
Calandrinia sp,Calandrinia sp.,NA,NA,FALSE,TRUE,calandrinia sp,Genus sp. ID,Calandrinia,
Callitris sp.,Callitris sp.,NA,NA,FALSE,TRUE,callitris sp,Genus sp. ID,Callitris,
Calocephalus sp.,Calocephalus sp.,NA,NA,FALSE,TRUE,calocephalus sp,Genus sp. ID,Calocephalus,
Calotis sp.,Calotis sp.,NA,NA,FALSE,TRUE,calotis sp,Genus sp. ID,Calotis,
Calytrix sp.,Calytrix sp.,NA,NA,FALSE,TRUE,calytrix sp,Genus sp. ID,Calytrix,
Capillipedium sp.,Capillipedium sp.,NA,NA,FALSE,TRUE,capillipedium sp,Genus sp. ID,Capillipedium,
Capparis sp.,Capparis sp.,NA,NA,FALSE,TRUE,capparis sp,Genus sp. ID,Capparis,
Cardamine sp.,Cardamine sp.,NA,NA,FALSE,TRUE,cardamine sp,Genus sp. ID,Cardamine,
Carex sp,Carex sp.,NA,NA,FALSE,TRUE,carex sp,Genus sp. ID,Carex,
Carex sp.,Carex sp.,NA,NA,FALSE,TRUE,carex sp,Genus sp. ID,Carex,
Carissa sp.,Carissa sp.,NA,NA,FALSE,TRUE,carissa sp,Genus sp. ID,Carissa,
Cassinia sp.,Cassinia sp.,NA,NA,FALSE,TRUE,cassinia sp,Genus sp. ID,Cassinia,
Cassytha sp.,Cassytha sp.,NA,NA,FALSE,TRUE,cassytha sp,Genus sp. ID,Cassytha,
Casuarina sp.,Casuarina sp.,NA,NA,FALSE,TRUE,casuarina sp,Genus sp. ID,Casuarina,
Centipeda sp.,Centipeda sp.,NA,NA,FALSE,TRUE,centipeda sp,Genus sp. ID,Centipeda,
Cheilanthes sp.,Cheilanthes sp.,NA,NA,FALSE,TRUE,cheilanthes sp,Genus sp. ID,Cheilanthes,
Chenopodiaceae sp.,Chenopodiaceae sp.,NA,NA,FALSE,TRUE,chenopodiaceae sp,Genus sp. ID,Chenopodiaceae,
Chloris sp.,Chloris sp.,NA,NA,FALSE,TRUE,chloris sp,Genus sp. ID,Chloris,
Chrysopogon sp.,Chrysopogon sp.,NA,NA,FALSE,TRUE,chrysopogon sp,Genus sp. ID,Chrysopogon,
Cleistochloa sp.,Cleistochloa sp.,NA,NA,FALSE,TRUE,cleistochloa sp,Genus sp. ID,Cleistochloa,
Cochlospermum sp.,Cochlospermum sp.,NA,NA,FALSE,TRUE,cochlospermum sp,Genus sp. ID,Cochlospermum,
Commelina sp.,Commelina sp.,NA,NA,FALSE,TRUE,commelina sp,Genus sp. ID,Commelina,
Conostylis sp.,Conostylis sp.,NA,NA,FALSE,TRUE,conostylis sp,Genus sp. ID,Conostylis,
Convolvulus sp.,Convolvulus sp.,NA,NA,FALSE,TRUE,convolvulus sp,Genus sp. ID,Convolvulus,
Corchorus sp.,Corchorus sp.,NA,NA,FALSE,TRUE,corchorus sp,Genus sp. ID,Corchorus,
Correa sp.,Correa sp.,NA,NA,FALSE,TRUE,correa sp,Genus sp. ID,Correa,
Corybas sp.,Corybas sp.,NA,NA,FALSE,TRUE,corybas sp,Genus sp. ID,Corybas,
Corymbia sp.,Corymbia sp.,NA,NA,FALSE,TRUE,corymbia sp,Genus sp. ID,Corymbia,
Corynotheca sp.,Corynotheca sp.,NA,NA,FALSE,TRUE,corynotheca sp,Genus sp. ID,Corynotheca,
Craspedia sp.,Craspedia sp.,NA,NA,FALSE,TRUE,craspedia sp,Genus sp. ID,Craspedia,
Crassula sp.,Crassula sp.,NA,NA,FALSE,TRUE,crassula sp,Genus sp. ID,Crassula,
Crotalaria sp.,Crotalaria sp.,NA,NA,FALSE,TRUE,crotalaria sp,Genus sp. ID,Crotalaria,
Cuscuta sp.,Cuscuta sp.,NA,NA,FALSE,TRUE,cuscuta sp,Genus sp. ID,Cuscuta,
Cyathochaeta sp.,Cyathochaeta sp.,NA,NA,FALSE,TRUE,cyathochaeta sp,Genus sp. ID,Cyathochaeta,
Cynodon  sp,Cynodon sp.,NA,NA,FALSE,TRUE,cynodon sp,Genus sp. ID,Cynodon,
Cyperaceae sp.,Cyperaceae sp.,NA,NA,FALSE,TRUE,cyperaceae sp,Genus sp. ID,Cyperaceae,
Cyperus sp.,Cyperus sp.,NA,NA,FALSE,TRUE,cyperus sp,Genus sp. ID,Cyperus,
Cyrtostylis sp.,Cyrtostylis sp.,NA,NA,FALSE,TRUE,cyrtostylis sp,Genus sp. ID,Cyrtostylis,
Dactylis sp.,Dactylis sp.,NA,NA,FALSE,TRUE,dactylis sp,Genus sp. ID,Dactylis,
Dactyloctenium sp.,Dactyloctenium sp.,NA,NA,FALSE,TRUE,dactyloctenium sp,Genus sp. ID,Dactyloctenium,
Dampiera sp.,Dampiera sp.,NA,NA,FALSE,TRUE,dampiera sp,Genus sp. ID,Dampiera,
Dendrophthoe sp.,Dendrophthoe sp.,NA,NA,FALSE,TRUE,dendrophthoe sp,Genus sp. ID,Dendrophthoe,
Desmocladus sp.,Desmocladus sp.,NA,NA,FALSE,TRUE,desmocladus sp,Genus sp. ID,Desmocladus,
Desmodium sp.,Desmodium sp.,NA,NA,FALSE,TRUE,desmodium sp,Genus sp. ID,Desmodium,
Dianella sp.,Dianella sp.,NA,NA,FALSE,TRUE,dianella sp,Genus sp. ID,Dianella,
Dichondra sp.,Dichondra sp.,NA,NA,FALSE,TRUE,dichondra sp,Genus sp. ID,Dichondra,
Digitaria sp.,Digitaria sp.,NA,NA,FALSE,TRUE,digitaria sp,Genus sp. ID,Digitaria,
Dissocarpus sp.,Dissocarpus sp.,NA,NA,FALSE,TRUE,dissocarpus sp,Genus sp. ID,Dissocarpus,
Dodonaea sp.,Dodonaea sp.,NA,NA,FALSE,TRUE,dodonaea sp,Genus sp. ID,Dodonaea,
Drosera sp.,Drosera sp.,NA,NA,FALSE,TRUE,drosera sp,Genus sp. ID,Drosera,
Duma sp.,Duma sp.,NA,NA,FALSE,TRUE,duma sp,Genus sp. ID,Duma,
Dysphania sp.,Dysphania sp.,NA,NA,FALSE,TRUE,dysphania sp,Genus sp. ID,Dysphania,
Ectrosia sp.,Ectrosia sp.,NA,NA,FALSE,TRUE,ectrosia sp,Genus sp. ID,Ectrosia,
Einadia sp.,Einadia sp.,NA,NA,FALSE,TRUE,einadia sp,Genus sp. ID,Einadia,
Enchylaena sp.,Enchylaena sp.,NA,NA,FALSE,TRUE,enchylaena sp,Genus sp. ID,Enchylaena,
Enneapogon sp.,Enneapogon sp.,NA,NA,FALSE,TRUE,enneapogon sp,Genus sp. ID,Enneapogon,
Enteropogon sp.,Enteropogon sp.,NA,NA,FALSE,TRUE,enteropogon sp,Genus sp. ID,Enteropogon,
Entolasia sp.,Entolasia sp.,NA,NA,FALSE,TRUE,entolasia sp,Genus sp. ID,Entolasia,
Epacris sp.,Epacris sp.,NA,NA,FALSE,TRUE,epacris sp,Genus sp. ID,Epacris,
Eragrostis sp.,Eragrostis sp.,NA,NA,FALSE,TRUE,eragrostis sp,Genus sp. ID,Eragrostis,
Eremophea sp.,Eremophea sp.,NA,NA,FALSE,TRUE,eremophea sp,Genus sp. ID,Eremophea,
Eremophila sp.,Eremophila sp.,NA,NA,FALSE,TRUE,eremophila sp,Genus sp. ID,Eremophila,
Eriachne sp.,Eriachne sp.,NA,NA,FALSE,TRUE,eriachne sp,Genus sp. ID,Eriachne,
Eriocaulon sp.,Eriocaulon sp.,NA,NA,FALSE,TRUE,eriocaulon sp,Genus sp. ID,Eriocaulon,
Erodium sp.,Erodium sp.,NA,NA,FALSE,TRUE,erodium sp,Genus sp. ID,Erodium,
Erythroxylum sp.,Erythroxylum sp.,NA,NA,FALSE,TRUE,erythroxylum sp,Genus sp. ID,Erythroxylum,
Eucalyptus sp.,Eucalyptus sp.,NA,NA,FALSE,TRUE,eucalyptus sp,Genus sp. ID,Eucalyptus,
Euchiton sp.,Euchiton sp.,NA,NA,FALSE,TRUE,euchiton sp,Genus sp. ID,Euchiton,
Euphorbia sp.,Euphorbia sp.,NA,NA,FALSE,TRUE,euphorbia sp,Genus sp. ID,Euphorbia,
Euphorbiaceae sp.,Euphorbiaceae sp.,NA,NA,FALSE,TRUE,euphorbiaceae sp,Genus sp. ID,Euphorbiaceae,
Fabaceae sp.,Fabaceae sp.,NA,NA,FALSE,TRUE,fabaceae sp,Genus sp. ID,Fabaceae,
Fimbristylis sp.,Fimbristylis sp.,NA,NA,FALSE,TRUE,fimbristylis sp,Genus sp. ID,Fimbristylis,
Frankenia sp.,Frankenia sp.,NA,NA,FALSE,TRUE,frankenia sp,Genus sp. ID,Frankenia,
Galactia sp.,Galactia sp.,NA,NA,FALSE,TRUE,galactia sp,Genus sp. ID,Galactia,
Galactica sp.,Galactica sp.,NA,NA,FALSE,TRUE,galactica sp,Misspelled,Galactia,
Galium sp.,Galium sp.,NA,NA,FALSE,TRUE,galium sp,Genus sp. ID,Galium,
Gardenia sp.,Gardenia sp.,NA,NA,FALSE,TRUE,gardenia sp,Genus sp. ID,Gardenia,
Geranium sp,Geranium sp.,NA,NA,FALSE,TRUE,geranium sp,Genus sp. ID,Geranium,
Geranium sp.,Geranium sp.,NA,NA,FALSE,TRUE,geranium sp,Genus sp. ID,Geranium,
Gladiolus sp.,Gladiolus sp.,NA,NA,FALSE,TRUE,gladiolus sp,Genus sp. ID,Gladiolus,
Glycine sp.,Glycine sp.,NA,NA,FALSE,TRUE,glycine sp,Genus sp. ID,Glycine,
Gnephosis sp.,Gnephosis sp.,NA,NA,FALSE,TRUE,gnephosis sp,Genus sp. ID,Gnephosis,
Gnephosis sp,Gnephosis sp.,NA,NA,FALSE,TRUE,gnephosis sp,Genus sp. ID,Gnephosis,
Gonocarpus sp.,Gonocarpus sp.,NA,NA,FALSE,TRUE,gonocarpus sp,Genus sp. ID,Gonocarpus,
Goodenia sp.,Goodenia sp.,NA,NA,FALSE,TRUE,goodenia sp,Genus sp. ID,Goodenia,
Graminae sp.,Graminae sp.,NA,NA,FALSE,TRUE,graminae sp,Misspelled,Poaceae,
Grevillea sp.,Grevillea sp.,NA,NA,FALSE,TRUE,grevillea sp,Genus sp. ID,Grevillea,
Grewia sp.,Grewia sp.,NA,NA,FALSE,TRUE,grewia sp,Genus sp. ID,Grewia,
Haemodorum sp.,Haemodorum sp.,NA,NA,FALSE,TRUE,haemodorum sp,Genus sp. ID,Haemodorum,
Hakea sp.,Hakea sp.,NA,NA,FALSE,TRUE,hakea sp,Genus sp. ID,Hakea,
Halgania sp.,Halgania sp.,NA,NA,FALSE,TRUE,halgania sp,Genus sp. ID,Halgania,
Haloragis sp.,Haloragis sp.,NA,NA,FALSE,TRUE,haloragis sp,Genus sp. ID,Haloragis,
Helicteres sp.,Helicteres sp.,NA,NA,FALSE,TRUE,helicteres sp,Genus sp. ID,Helicteres,
Heliotropium sp.,Heliotropium sp.,NA,NA,FALSE,TRUE,heliotropium sp,Genus sp. ID,Heliotropium,
Helipterum sp.,Helipterum sp.,NA,NA,FALSE,TRUE,helipterum sp,Genus sp. ID,Helipterum,
Heteropogon sp.,Heteropogon sp.,NA,NA,FALSE,TRUE,heteropogon sp,Genus sp. ID,Heteropogon,
Hibbertia sp.,Hibbertia sp.,NA,NA,FALSE,TRUE,hibbertia sp,Genus sp. ID,Hibbertia,
Hibiscus sp.,Hibiscus sp.,NA,NA,FALSE,TRUE,hibiscus sp,Genus sp. ID,Hibiscus,
Hordeum sp.,Hordeum sp.,NA,NA,FALSE,TRUE,hordeum sp,Genus sp. ID,Hordeum,
Hydrocotyle sp.,Hydrocotyle sp.,NA,NA,FALSE,TRUE,hydrocotyle sp,Genus sp. ID,Hydrocotyle,
Hypocaeris sp.,Hypocaeris sp.,NA,NA,FALSE,TRUE,hypocaeris sp,Genus sp. ID,Hypochaeris,
Hypochaeris sp.,Hypochaeris sp.,NA,NA,FALSE,TRUE,hypochaeris sp,Genus sp. ID,Hypochaeris,
Hypogymnia sp.,Hypogymnia sp.,NA,NA,FALSE,TRUE,hypogymnia sp,Genus sp. ID,Hypogymnia,
Hypolaena sp.,Hypolaena sp.,NA,NA,FALSE,TRUE,hypolaena sp,Genus sp. ID,Hypolaena,
Indigofera sp.,Indigofera sp.,NA,NA,FALSE,TRUE,indigofera sp,Genus sp. ID,Indigofera,
Ipomoea sp.,Ipomoea sp.,NA,NA,FALSE,TRUE,ipomoea sp,Genus sp. ID,Ipomoea,
Iseilema sp.,Iseilema sp.,NA,NA,FALSE,TRUE,iseilema sp,Genus sp. ID,Iseilema,
Juncus sp.,Juncus sp.,NA,NA,FALSE,TRUE,juncus sp,Genus sp. ID,Juncus,
Lachnagrostis sp.,Lachnagrostis sp.,NA,NA,FALSE,TRUE,lachnagrostis sp,Genus sp. ID,Lachnagrostis,
Lamiaceae sp.,Lamiaceae sp.,NA,NA,FALSE,TRUE,lamiaceae sp,Genus sp. ID,Lamiaceae,
Leiocarpa sp.,Leiocarpa sp.,NA,NA,FALSE,TRUE,leiocarpa sp,Genus sp. ID,Leiocarpa,
Lepidosperma sp.,Lepidosperma sp.,NA,NA,FALSE,TRUE,lepidosperma sp,Genus sp. ID,Lepidosperma,
Leptospermum sp.,Leptospermum sp.,NA,NA,FALSE,TRUE,leptospermum sp,Genus sp. ID,Leptospermum,
Lepyrodia sp.,Lepyrodia sp.,NA,NA,FALSE,TRUE,lepyrodia sp,Genus sp. ID,Lepyrodia,
Leucopogon sp.,Leucopogon sp.,NA,NA,FALSE,TRUE,leucopogon sp,Genus sp. ID,Leucopogon,
Linum sp.,Linum sp.,NA,NA,FALSE,TRUE,linum sp,Genus sp. ID,Linum,
Livistona sp.,Livistona sp.,NA,NA,FALSE,TRUE,livistona sp,Genus sp. ID,Livistona,
Lobelia sp.,Lobelia sp.,NA,NA,FALSE,TRUE,lobelia sp,Genus sp. ID,Lobelia,
Lomandra sp.,Lomandra sp.,NA,NA,FALSE,TRUE,lomandra sp,Genus sp. ID,Lomandra,
Loranthaceae sp.,Loranthaceae sp.,NA,NA,FALSE,TRUE,loranthaceae sp,Genus sp. ID,Loranthaceae,
Luzula sp.,Luzula sp.,NA,NA,FALSE,TRUE,luzula sp,Genus sp. ID,Luzula,
Luzula sp,Luzula sp.,NA,NA,FALSE,TRUE,luzula sp,Genus sp. ID,Luzula,
Maireana sp.,Maireana sp.,NA,NA,FALSE,TRUE,maireana sp,Genus sp. ID,Maireana,
Malvaceae sp.,Malvaceae sp.,NA,NA,FALSE,TRUE,malvaceae sp,Genus sp. ID,Malvaceae,
Marsdenia sp.,Marsdenia sp.,NA,NA,FALSE,TRUE,marsdenia sp,Genus sp. ID,Marsdenia,
Marsilea sp.,Marsilea sp.,NA,NA,FALSE,TRUE,marsilea sp,Genus sp. ID,Marsilea,
Medicago sp.,Medicago sp.,NA,NA,FALSE,TRUE,medicago sp,Genus sp. ID,Medicago,
Melaleuca sp.,Melaleuca sp.,NA,NA,FALSE,TRUE,melaleuca sp,Genus sp. ID,Melaleuca,
Mezoneuron sp.,Mezoneuron sp.,NA,NA,FALSE,TRUE,mezoneuron sp,Genus sp. ID,Mezoneuron,
Micromyrtus sp.,Micromyrtus sp.,NA,NA,FALSE,TRUE,micromyrtus sp,Genus sp. ID,Micromyrtus,
Microtis sp.,Microtis sp.,NA,NA,FALSE,TRUE,microtis sp,Genus sp. ID,Microtis,
Millotia sp.,Millotia sp.,NA,NA,FALSE,TRUE,millotia sp,Genus sp. ID,Millotia,
Minuria sp.,Minuria sp.,NA,NA,FALSE,TRUE,minuria sp,Genus sp. ID,Minuria,
Morea sp.,Morea sp.,NA,NA,FALSE,TRUE,morea sp,Genus sp. ID,Morea,
Myoporaceae sp.,Myoporaceae sp.,NA,NA,FALSE,TRUE,myoporaceae sp,Genus sp. ID,Myoporaceae,
Nicotiana sp.,Nicotiana sp.,NA,NA,FALSE,TRUE,nicotiana sp,Genus sp. ID,Nicotiana,
Olearia sp.,Olearia sp.,NA,NA,FALSE,TRUE,olearia sp,Genus sp. ID,Olearia,
Orchidaceae sp.,Orchidaceae sp.,NA,NA,FALSE,TRUE,orchidaceae sp,Genus sp. ID,Orchidaceae,
Osteocarpum sp.,Osteocarpum sp.,NA,NA,FALSE,TRUE,osteocarpum sp,Genus sp. ID,Osteocarpum,
Oxalis sp.,Oxalis sp.,NA,NA,FALSE,TRUE,oxalis sp,Genus sp. ID,Oxalis,
Pandanus sp.,Pandanus sp.,NA,NA,FALSE,TRUE,pandanus sp,Genus sp. ID,Pandanus,
