canonicalName,RS_value
Pluchea dunlopii,woody
Pluchea rubelliflora,herbaceous
Podolepis aristata,herbaceous
Podolepis capillaris,herbaceous
Podolepis kendallii,herbaceous
Podolepis lessonii,herbaceous
Podolepis muelleri,herbaceous
Podolepis robusta,herbaceous
Podolepis rugata,herbaceous
Podotheca angustifolia,herbaceous
Podotheca gnaphalioides,herbaceous
Pogonolepis muelleriana,herbaceous
Pogonolepis stricta,herbaceous
Polycalymma stuartii,herbaceous
Pterocaulon serrulatum,woody
Pterocaulon sphacelatum,herbaceous
Pterochaeta paniculata,herbaceous
Pycnosorus pleiocephalus,herbaceous
Quinetia urvillei,herbaceous
Reichardia tingitana,herbaceous
Rhodanthe anthemoides,herbaceous
Rhodanthe citrina,herbaceous
Rhodanthe corymbiflora,herbaceous
Rhodanthe diffusa,herbaceous
Rhodanthe floribunda,herbaceous
Rhodanthe haigii,herbaceous
Rhodanthe humboldtiana,herbaceous
Rhodanthe laevis,herbaceous
Rhodanthe manglesii,herbaceous
Rhodanthe maryonii,herbaceous
Rhodanthe microglossa,herbaceous
Rhodanthe moschata,herbaceous
Rhodanthe pygmaea,herbaceous
Rhodanthe rubella,herbaceous
Rhodanthe spicata,herbaceous
Rhodanthe stricta,herbaceous
Rhodanthe tietkensii,herbaceous
Rhodanthe troedelii,herbaceous
Rhodanthe uniflora,herbaceous
Roebuckiella cheilocarpa,herbaceous
Roebuckiella ciliocarpa,herbaceous
Rutidosis helichrysoides,herbaceous
Schoenia ayersii,herbaceous
Schoenia cassiniana,herbaceous
Senecio anethifolius,woody
Senecio cunninghamii,semi_woody
Senecio dolichocephalus,herbaceous
Senecio extensus,herbaceous
Senecio glossanthus,herbaceous
Senecio gregorii,herbaceous
Senecio lacustrinus,herbaceous
Senecio lanibracteus,woody
Senecio magnificus,herbaceous
Senecio odoratus,woody
Senecio phelleus,herbaceous
Senecio picridioides,herbaceous
Senecio pinnatifolius,herbaceous
Senecio pterophorus,woody
Senecio quadridentatus,herbaceous
Senecio runcinifolius,herbaceous
Senecio spanomerus,semi_woody
Sigesbeckia orientalis,herbaceous
Siloxerus multiflorus,herbaceous
Sonchus oleraceus,herbaceous
Streptoglossa adscendens,herbaceous
Streptoglossa bubakii,herbaceous
Streptoglossa odora,herbaceous
Stuartina hamata,herbaceous
Stuartina muelleri,herbaceous
Trichanthodium skirrophorum,herbaceous
Urospermum picroides,herbaceous
Ursinia anthemoides,herbaceous
Vittadinia arida,herbaceous
Vittadinia cervicularis,herbaceous
Vittadinia condyloides,herbaceous
Vittadinia cuneata,semi_woody
Vittadinia dissecta,herbaceous
Vittadinia eremaea,herbaceous
Vittadinia gracilis,semi_woody
Vittadinia nullarborensis,herbaceous
Vittadinia pterochaeta,herbaceous
Vittadinia sulcata,herbaceous
Waitzia acuminata,herbaceous
