species,eoo_aus,aoo_aus
Acacia gloeotricha,117.5047118,12
Acacia glutinosissima,27666.27161,64
Acacia gnidium,195927.4745,156
Acacia gonocarpa,813505.2162,1024
Acacia gonoclada,1586950.572,1128
Acacia gonophylla,254749.7033,464
Acacia gordonii,1099.649447,92
Acacia gracilenta,16434.92721,96
Acacia gracilifolia,50417.19414,144
Acacia graciliformis,0,8
Acacia grandifolia,54242.30269,180
Acacia granitica,443493.5005,360
Acacia graniticola,29156.76511,148
Acacia grasbyi,1084659.636,420
Acacia gregorii,200093.7245,216
Acacia grisea,17515.68443,72
Acacia guinetii,379.4605489,28
Acacia gunnii,2525202.417,1644
Acacia guymeri,134541.143,164
Acacia hadrophylla,32985.91994,100
Acacia haematites,52.59510635,12
Acacia hakeoides,2321913.07,2732
Acacia halliana,348883.9039,844
Acacia hamersleyensis,58472.39534,340
Acacia hamiltoniana,25762.59736,340
Acacia hammondii,1303503.042,1528
Acacia handonis,807.7417241,68
Acacia harpophylla,1528394.216,1224
Acacia harveyi,526063.8769,336
Acacia hastulata,50457.31189,412
Acacia havilandiorum,831211.5565,808
Acacia helicophylla,14048.58375,104
Acacia helmsiana,1171696.55,312
Acacia hemignosta,1988327.703,1604
Acacia hemiteles,999980.2509,1548
Acacia hemsleyi,2440512.382,668
Acacia hendersonii,1254.162953,52
Acacia heterochroa,312.1463994,16
Acacia heterochroa subsp. heterochroa,1362.676949,108
Acacia heterochroa subsp. robertii,1350.575936,32
Acacia heteroclita,53971.06882,44
Acacia heteroclita subsp. heteroclita,119222.6739,228
Acacia heteroclita subsp. valida,0.032619759,12
Acacia heteroneura,6724.000998,24
Acacia heteroneura var. heteroneura,53888.75662,76
Acacia heteroneura var. jutsonii,284936.7785,348
Acacia heteroneura var. petila,25366.55306,104
Acacia heteroneura var. prolixa,804454.3566,124
Acacia hexaneura,3836.362302,124
Acacia hilliana,1996287.087,1660
Acacia hippuroides,141784.2108,256
Acacia hispidula,121208.0305,412
Acacia hockingsii,342.0597272,36
Acacia holosericea,4348929.219,3552
Acacia holotricha,49622.70352,108
Acacia homaloclada,7167.283196,60
Acacia homalophylla,1047085.89,820
Acacia hopperiana,87842.31119,120
Acacia horridula,80115.91999,60
Acacia howittii,505294.8149,148
Acacia hubbardiana,14802.58831,244
Acacia huegelii,63818.96599,252
Acacia humifusa,1837690.997,1432
Acacia hyaloneura,717866.4023,368
Acacia hylonoma,4656.60998,68
Acacia hypermeces,28166.92517,24
Acacia hystrix subsp. continua,6609.570241,16
Acacia hystrix subsp. hystrix,19693.97368,100
Acacia idiomorpha,58881.58241,268
Acacia imbricata,18678.10953,240
Acacia imitans,214.8016269,16
Acacia imparilis,153.0155233,16
Acacia implexa,1965747.347,1904
Acacia improcera,17444.8632,56
Acacia inaequilatera,1447615.263,772
Acacia inaequiloba,65277.68962,184
Acacia inamabilis,33109.70563,76
Acacia incanicarpa,102.5345528,16
Acacia inceana subsp. conformis,116414.5053,200
Acacia inceana subsp. inceana,19620.9018,56
Acacia inceana subsp. latifolia,106.9965726,16
Acacia incognita,36305.19179,100
Acacia incongesta,132.2552185,32
Acacia incrassata,14432.57053,88
Acacia incurva,48164.83067,228
Acacia incurvaneura,1753776.773,980
Acacia infecunda,7.026406573,8
Acacia ingramii,19393.09114,120
Acacia ingrata,16686.70856,124
Acacia inophloia,14110.67625,44
Acacia inops,666.4245312,36
Acacia insolita,NA,4
Acacia insolita subsp. insolita,16939.49912,188
Acacia insolita subsp. recurva,155.9207971,20
Acacia intorta,67380.84852,68
Acacia intricata,73866.94566,276
Acacia irrorata,223852.8153,204
Acacia irrorata subsp. irrorata,527520.0441,1008
Acacia irrorata subsp. velutinella,82263.17838,176
Acacia islana,23040.67547,76
Acacia isoneura subsp. isoneura,12147.29544,36
Acacia isoneura subsp. nimia,15553.73255,72
Acacia iteaphylla,3239580.185,680
Acacia ixiophylla,735855.231,856
Acacia ixodes,436435.7727,352
Acacia jackesiana,54125.58624,144
Acacia jacksonioides,33174.97448,136
Acacia jamesiana,458853.9321,220
Acacia jasperensis,329296.969,204
Acacia jennerae,2561975.708,800
Acacia jensenii,1360356.033,160
Acacia jibberdingensis,701598.0807,284
Acacia johannis,4597.388895,68
Acacia johnsonii,277404.732,288
Acacia jonesii,41584.32437,108
Acacia jucunda,258859.0133,364
Acacia julifera,1480351.516,308
Acacia julifera subsp. curvinervia,363567.3594,484
Acacia julifera subsp. gilbertensis,196941.1036,492
Acacia julifera subsp. julifera,706065.1173,1044
Acacia juncifolia,832649.0233,1096
Acacia kalgoorliensis,248626.6557,196
Acacia karina,1509.624467,44
Acacia keigheryi,1072.907672,32
Acacia kelleri,131646.278,264
Acacia kempeana,3195758.287,2584
Acacia kenneallyi,10636.23499,48
Acacia kerryana,14636.44744,44
Acacia kettlewelliae,228355.7249,436
Acacia kimberleyensis,831.3330401,32
Acacia kochii,43999.32288,88
Acacia kulinensis,0,4
Acacia kulnurensis,1993.58117,108
Acacia kybeanensis,46683.59837,208
Acacia kydrensis,1074.148695,76
Acacia laccata,1667524.259,484
Acacia lacertensis,45198.05034,160
Acacia lachnophylla,42050.19347,304
Acacia lamprocarpa,3444303.069,1080
Acacia lanceolata,1291.866866,40
Acacia lanei,20206.31858,32
Acacia lanigera,648356.6947,224
Acacia lanigera var. gracilipes,2105.67101,44
Acacia lanigera var. lanigera,365908.8468,404
Acacia lanigera var. whanii,43621.55725,84
Acacia lanuginophylla,18887.06774,28
Acacia lapidosa,596.8612755,16
Acacia laricina,8453.730018,28
