species,eoo_aus,aoo_aus
Genoplesium alticola,NA,4
Genoplesium anthracinum,176.1098215,12
Genoplesium brachystachyum,144669.4822,48
Genoplesium capparinum,0,8
Genoplesium ciliatum,71067.03232,52
Genoplesium clivicola,276870.9384,152
Genoplesium cornutum,2508.116741,24
Genoplesium cranei,NA,4
Genoplesium firthii,17046.24077,24
Genoplesium insigne,568.6673726,24
Genoplesium littorale,0,8
Genoplesium morrisii,1008937.691,100
Genoplesium pedersonii,4346.725803,12
Genoplesium plumosum,3346.667186,20
Genoplesium pumilum,1046061.617,168
Genoplesium rhyoliticum,0,4
Genoplesium sigmoideum,0,8
Genoplesium stephensonii,1375.895694,44
Genoplesium superbum,2728.82642,16
Genoplesium tectum,301.520198,12
Genoplesium validum,NA,4
Genoplesium vernale,704.200873,40
Gentiana baeuerlenii,0,4
Gentiana bredboensis,0,4
Gentiana wingecarribiensis,225.4335624,24
Gentiana wissmannii,187.3554272,52
Gentianella barringtonensis,245.7915851,36
Gentianella bawbawensis,6.333261872,20
Gentianella brevisepala,5404.326393,28
Gentianella cunninghamii,NA,8
Gentianella cunninghamii subsp. cunninghamii,57493.49813,132
Gentianella cunninghamii subsp. major,15133.59099,48
Gentianella demissa,79.39356737,16
Gentianella diemensis,178556.6463,64
Gentianella diemensis subsp. diemensis,171921.8198,384
Gentianella diemensis subsp. plantaginea,283.3425866,52
Gentianella eichleri,5362.896555,104
Gentianella gunniana,83656.47341,72
Gentianella muelleriana,217.0048046,24
Gentianella muelleriana subsp. alpestris,1735.442442,124
Gentianella muelleriana subsp. jingerensis,31.58593442,36
Gentianella muelleriana subsp. muelleriana,15769.71473,116
Gentianella muelleriana subsp. willisiana,243.178666,28
Gentianella pleurogynoides,110.0263144,12
Gentianella pleurogynoides subsp. milliganii,6457.551893,28
Gentianella pleurogynoides subsp. pleurogynoides,23242.04453,76
Gentianella polysperes,177783.6258,176
Gentianella sylvicola,26.55503692,16
Geococcus pusillus,1422752.757,384
Geodorum densiflorum,3413165.925,788
Geophila repens,91956.15969,100
Georgeantha hexandra,2142.0276,160
Geranium aequale,NA,4
Geranium antrorsum,121113.495,380
Geranium brevicaule,196076.8268,156
Geranium gardneri,3038408.365,304
Geranium graniticola,904.8613926,32
Geranium homeanum,2331932.524,904
Geranium neglectum,121604.3161,328
Geranium obtusisepalum,4022.055598,88
Geranium potentilloides,1354323.937,544
Geranium potentilloides var. abditum,88607.52668,160
Geranium potentilloides var. potentilloides,1250657.173,1144
Geranium retrorsum,3014426.123,1856
Geranium sessiliflorum,NA,8
Geranium solanderi,3642045.002,1092
Geranium solanderi var. grande,117550.9537,60
Geranium solanderi var. solanderi,4889190.562,2304
"Geranium sp. Large flowers (D.Marshall s.n., 20/12/2004)",NA,8
Geranium sp. Narrow lobes (G.S.Lorimer 1771),0,4
Geranium sp. Pale pink flowers (M.Gray 5847),445998.5258,52
Germainia capitata,32264.30028,88
Germainia grandiflora,759380.0202,372
Germainia truncatiglumis,1576965.431,568
Geum talbotianum,1361.34594,48
Geum urbanum,81225.63765,80
Geum urbanum var. strictum,53993.51207,136
Gilberta tenuifolia,294519.6964,672
Gilesia biniflora,844001.6991,188
Gillbeea adenopetala,28531.99986,320
Gillbeea whypallana,2006.538725,104
Gilruthia osbornei,264684.0027,340
Gingidia algens,1215.607486,76
Gingidia harveyana,26885.53039,204
Gingidia rupicola,32.02342525,24
Gleichenia abscida,7959.203741,124
Gleichenia alpina,39228.21257,304
Gleichenia dicarpa,4523283.8,1888
Gleichenia mendellii,22278.85422,148
Gleichenia microphylla,4317690.964,1328
Gleichenia rupestris,362860.413,272
Gleichenia sp. Victoria River (I.D.Cowie 9193),0.022367304,8
Glinus lotoides,7488382.74,2336
Glinus oppositifolius,8151842.694,1428
Glinus orygioides,757156.8526,156
Glinus sessiliflorus,389190.9217,44
Glischrocaryon angustifolium,2293015.484,1152
Glischrocaryon aureum,3678191.604,1192
Glischrocaryon behrii,448018.5986,1252
Glischrocaryon flavescens,1298427.226,752
Glischrocaryon roei,867221.7162,220
Globba marantina,291.050859,16
Glochidion apodogynum,1881969.125,240
Glochidion barronense,0,8
Glochidion benthamianum,143318.9969,380
Glochidion disparipes,2135824.928,644
Glochidion ferdinandi,2289567.631,624
Glochidion ferdinandi var. ferdinandi,2378643.272,292
Glochidion ferdinandi var. pubens,359139.5492,56
Glochidion harveyanum,168692.8476,324
Glochidion harveyanum var. harveyanum,86954.01794,468
Glochidion harveyanum var. pubescens,1720.426257,32
Glochidion hylandii,67377.44552,244
Glochidion lobocarpum,1436024.774,404
Glochidion perakense,NA,8
Glochidion perakense var. supra-axillare,1170194.524,40
Glochidion philippicum,40192.78989,176
Glochidion pruinosum,0,8
Glochidion pungens,2731.738883,84
Glochidion sessiliflorum,38814.74331,72
Glochidion sessiliflorum var. pedicellatum,28644.72544,188
Glochidion sessiliflorum var. sessiliflorum,25768.30597,80
Glochidion sessiliflorum var. stylosum,1331.232511,20
Glochidion sumatranum,3119648.067,852
Glochidion xerocarpum,449331.9952,412
Glossocardia bidens,4874894.281,1400
Glossocardia orthochaeta,55841.31061,20
Glossocardia refracta,174591.2269,60
Glossocarya calcicola,105239.8299,176
Glossocarya coriacea,21484.36538,28
Glossocarya hemiderma,613744.9515,612
Glossodia minor,324838.4058,552
Glossostigma cleistanthum,1945047.285,176
Glossostigma diandrum,7217737.374,872
Glossostigma drummondii,4104735.275,360
Glossostigma elatinoides,764840.3508,168
Glossostigma sp. Long stout-pedicelled (W.R.Barker 2481),1341.821679,12
Glossostigma trichodes,1849.626607,24
Glyceria australis,1060524.67,720
Glyceria drummondii,11655.94717,20
Glyceria latispicea,2271.011358,16
Glycine albicans,24834.09458,48
Glycine aphyonota,NA,8
Glycine arenaria,818730.2439,76
Glycine argyrea,677.143714,88
Glycine canescens,6837953.704,3592
Glycine clandestina,6939525.956,3784
Glycine curvata,304364.5259,264
Glycine cyrtoloba,734201.6366,492
Glycine falcata,3050827.445,540
Glycine gracei,92722.66513,36
Glycine hirticaulis,159161.3891,24
Glycine hirticaulis subsp. hirticaulis,2457.998205,28
Glycine hirticaulis subsp. leptosa,93195.8673,116
Glycine lactovirens,444975.6027,84
Glycine latifolia,1177052.133,644
Glycine latrobeana,510123.762,452
Glycine microphylla,2133023.469,1428
Glycine montis-douglas,0.262886872,8
Glycine peratosa,1533259.623,92
Glycine pescadrensis,1183904.868,312
Glycine pindanica,3654073.988,80
Glycine pullenii,282419.6653,80
Glycine remota,0,4
Glycine rubiginosa,1870980.16,1144
Glycine sp. Aldinga (Grace+ 228),74487.93357,20
Glycine sp. Arnhem (I.D.Cowie 8661),3.556910939,8
Glycine sp. Bolt Head (P.I.Forster PIF8948),24709.44225,44
Glycine sp. Karana Downs (L.H.Bird AQ473958),NA,4
Glycine sp. Laglan Station (L.S.Smith 10302),71691.02159,16
Glycine sp. Marburg (K.A.Williams 83006),128107.2808,84
Glycine sp. Melaleuca Creek Scrub (P.I.Forster+ PIF7949),NA,4
Glycine sp. Mt Moffatt (K.A.Williams 86060),222.8652397,16
Glycine sp. Mt Sanford (R.Rowley 10/4/2002),13149.23908,12
Glycine sp. Talipata (B.G.Thomson 699),71798.13611,48
Glycine stenophita,540217.9537,208
Glycine syndetika,334647.9101,156
Glycine tabacina,7938080,2256
Glycine tomentella,6307945.016,3284
Glycocystis beckeri,33415.31454,124
Glycosmis macrophylla,240823.0444,184
Glycosmis trifoliata,3046875.359,1424
Glycyrrhiza acanthocarpa,2675790.79,788
Gmelina australis,199518.5949,156
Gmelina dalrympleana,783474.6889,356
Gmelina fasciculiflora,60995.95453,272
Gmelina leichhardtii,502916.2955,232
Gmelina schlechteri,49589.68518,32
Gnaphalium diamantinense,2109000.532,276
Gnaphalium indutum,1788656.393,284
Gnaphalium indutum subsp. acuminatum,87766.2767,144
Gnaphalium indutum subsp. indutum,1966433.352,468
Gnephosis acicularis,117640.507,132
Gnephosis angianthoides,496582.6826,420
Gnephosis arachnoidea,3719449.717,2244
Gnephosis brevifolia,1156518.625,476
Gnephosis cassiniana,23102.62596,44
Gnephosis drummondii,1258533.627,524
Gnephosis eriocarpa,2415252.128,1148
Gnephosis gynotricha,51298.75058,100
Gnephosis macrocephala,248658.7159,112
Gnephosis multiflora,779409.2415,36
Gnephosis newbeyi,NA,8
Gnephosis setifera,5209.389204,36
Gnephosis tenuissima,3867677.294,2488
Gnephosis tridens,172874.8592,276
Gnephosis trifida,90193.92537,80
Gnephosis uniflora,184499.528,176
Gnetum gnemon,70651.40494,16
Gomphandra australiana,76332.08742,396
Gompholobium aristatum,27900.10443,184
Gompholobium aspalathoides,236762.4685,248
Gompholobium baxteri,48266.31605,400
Gompholobium burtonioides,34840.31999,288
Gompholobium capitatum,70397.14607,400
Gompholobium cinereum,67040.65463,40
Gompholobium confertum,286886.0746,972
Gompholobium cyaninum,128196.1428,276
Gompholobium ecostatum,225677.8558,724
Gompholobium foliolosum,601083.8633,276
Gompholobium gairdnerium,NA,4
Gompholobium glabratum,93020.22113,368
Gompholobium glutinosum,11103.47003,128
Gompholobium gompholobioides,324661.5335,352
Gompholobium grandiflorum,63907.21865,484
Gompholobium hendersonii,34666.6832,136
Gompholobium huegelii,727715.4952,1740
Gompholobium inconspicuum,141854.4311,160
Gompholobium karijini,9070.695467,48
Gompholobium knightianum,711262.1667,1148
Gompholobium latifolium,317883.3353,1076
Gompholobium laxum,56776.06172,92
Gompholobium marginatum,304675.9266,976
Gompholobium minus,53690.24641,316
Gompholobium muticum,7313.769395,88
Gompholobium nitidum,701996.8882,632
Gompholobium obcordatum,41986.81842,132
Gompholobium oreophilum,17664.71941,176
Gompholobium ovatum,62832.99019,576
Gompholobium pinnatum,883851.8638,564
Gompholobium polymorphum,216465.7945,1112
Gompholobium polyzygum,1024147.364,452
Gompholobium preissii,86865.79213,500
Gompholobium pungens,26644.29478,60
Gompholobium roseum,4330.975338,36
Gompholobium scabrum,872080.6397,700
Gompholobium shuttleworthii,180788.1828,372
Gompholobium simplicifolium,1169091.13,392
Gompholobium sp. Point Archer J.Wrigley+ NQ1301),6235.785353,52
Gompholobium subulatum,737692.1457,792
Gompholobium tomentosum,320659.5938,1240
Gompholobium uncinatum,533718.3065,200
Gompholobium venustum,198282.4774,336
Gompholobium villosum,31883.77838,128
Gompholobium virgatum,310966.036,612
Gompholobium viscidulum,96495.37852,244
Gompholobium wonganense,1.920406531,12
Gomphrena affinis,448001.1366,52
Gomphrena affinis subsp. affinis,196774.4344,212
Gomphrena affinis subsp. pilbarensis,191712.0629,180
Gomphrena arida,51069.06215,64
Gomphrena atrorubra,1061.123753,36
Gomphrena brachystylis,474336.5692,44
Gomphrena brachystylis subsp. brachystylis,441716.4931,156
Gomphrena brachystylis subsp. pindanensis,103890.963,132
Gomphrena breviflora,1553609.596,648
Gomphrena canescens,2629830.645,628
Gomphrena canescens subsp. canescens,3186128.974,1436
Gomphrena canescens subsp. erythrina,71479.93396,304
Gomphrena conferta,875071.2477,72
Gomphrena conica,324950.3046,20
Gomphrena connata,239332.3868,168
Gomphrena cucullata,93735.43304,32
Gomphrena cunninghamii,1509537.926,736
Gomphrena diffusa,698959.4741,104
Gomphrena diffusa subsp. arenicola,517608.7818,92
Gomphrena diffusa subsp. diffusa,556206.4353,148
Gomphrena eichleri,20706.6633,56
Gomphrena flaccida,3174718.1,1716
Gomphrena floribunda,51130.14623,100
Gomphrena humifusa,152488.7805,56
Gomphrena humilis,520626.1594,172
Gomphrena involucrata,10669.08227,60
Gomphrena kanisii,280107.8579,272
Gomphrena lacinulata,24906.13694,72
Gomphrena lanata,2817094.68,1232
Gomphrena leontopodioides,46229.77118,56
Gomphrena leptoclada,371692.0515,124
Gomphrena leptoclada subsp. leptoclada,624779.6426,332
Gomphrena leptoclada subsp. saxosa,62627.23408,84
Gomphrena leptophylla,1675080.882,228
Gomphrena magentitepala,58879.99755,108
Gomphrena occulta,129967.4959,20
Gomphrena parviflora,717935.2567,232
Gomphrena pusilla,11537.53245,28
Gomphrena rosula,245118.8535,180
Gomphrena sordida,291997.9017,64
Gomphrena sp. Belele (D.W.Goodall 3215),140405.7062,76
Gomphrena sp. Doongmabulla (E.J.Thompson+ GAL137),10446.08324,28
Gomphrena sp. Martins Well (K.F.Kenneally 6116),190565.6768,16
Gomphrena splendida,119.4369116,12
Gomphrena tenella,239484.8141,100
Goniophlebium percussum,2993.483852,64
Goniophlebium subauriculatum,325260.8676,232
Goniothalamus australis,7605.005837,228
Gonocarpus acanthocarpus,940876.8882,516
Gonocarpus benthamii,61708.60536,248
Gonocarpus benthamii subsp. Stirling (C.J.Robinson 1080),NA,4
Gonocarpus chinensis,2405486.82,76
Gonocarpus chinensis subsp. chinensis,2411647.717,256
Gonocarpus chinensis subsp. verrucosus,946009.8644,468
Gonocarpus confertifolius,189928.7526,32
Gonocarpus confertifolius var. confertifolius,251912.6748,60
Gonocarpus confertifolius var. helmsii,282408.7475,76
Gonocarpus cordiger,32997.6146,252
Gonocarpus diffusus,45130.79972,148
Gonocarpus effusus,33342.90867,40
Gonocarpus elatus,2110586.01,1836
Gonocarpus ephemerus,241125.5084,96
Gonocarpus eremophilus,713626.6005,164
Gonocarpus ericifolius,206.4176614,12
Gonocarpus hirtus,26446.12953,144
Gonocarpus hispidus,51.32469892,12
Gonocarpus humilis,2115742.873,740
Gonocarpus implexus,226042.1051,128
Gonocarpus intricatus,5159.613006,28
Gonocarpus leptothecus,3402361.344,924
Gonocarpus longifolius,254374.8575,172
Gonocarpus mezianus,233404.2088,876
Gonocarpus micranthus,2217353.792,204
Gonocarpus micranthus subsp. micranthus,1742250.168,1144
Gonocarpus micranthus subsp. ramosissimus,3494106.264,508
Gonocarpus montanus,329736.797,556
Gonocarpus nodulosus,696161.5038,692
Gonocarpus oreophilus,60848.77579,172
Gonocarpus paniculatus,76041.6817,224
Gonocarpus pithyoides,29331.17394,208
Gonocarpus pusillus,13647.50404,96
Gonocarpus pycnostachyus,28017.31835,36
Gonocarpus rudis,3576.701931,36
Gonocarpus salsoloides,9535.525724,116
Gonocarpus scordioides,4705.012798,128
Gonocarpus serpyllifolius,108427.6247,220
Gonocarpus simplex,22082.09449,76
Gonocarpus tetragynus,1803144.186,2788
Gonocarpus teucrioides,2171064.947,888
Gonocarpus trichostachyus,12497.58396,36
Gonocarpus urceolatus,53070.56111,236
Goodenia affinis,1424270.818,312
Goodenia albiflora,51460.55728,396
Goodenia amplexans,101005.9674,284
Goodenia anfracta,310281.4819,88
Goodenia angustifolia,456356.6276,96
Goodenia arachnoidea,75497.8222,148
Goodenia argillacea,7090.187511,24
Goodenia armitiana,4535272.604,1760
Goodenia armstrongiana,1068509,1052
Goodenia arthrotricha,2534.848038,32
Goodenia atriplexifolia,54094.61372,80
Goodenia azurea,1391659.022,172
Goodenia azurea subsp. azurea,336778.9067,244
Goodenia azurea subsp. hesperia,663032.3951,232
Goodenia bellidifolia,144098.5004,144
Goodenia bellidifolia subsp. argentea,515138.0642,700
Goodenia bellidifolia subsp. bellidifolia,147855.6282,600
Goodenia benthamiana,78201.3724,148
Goodenia berardiana,3385346.476,2140
Goodenia berringbinensis,786122.8079,84
Goodenia bicolor,418703.0125,480
Goodenia blackiana,303505.2143,1340
Goodenia brachypoda,60949.56902,188
Goodenia brunnea,24948.35841,88
Goodenia byrnesii,1392201.882,448
Goodenia calcarata,1260666.149,492
Goodenia campestris,11770.52205,24
Goodenia centralis,1783388.861,448
Goodenia chambersii,59719.06148,136
Goodenia chthonocephala,252971.4215,36
Goodenia cirrifica,86634.92782,280
Goodenia claytoniacea,82928.96652,96
Goodenia coerulea,287414.9877,772
Goodenia concinna,746826.8761,484
Goodenia convexa,81977.18553,180
Goodenia coronopifolia,719146.4991,580
Goodenia corralina,0,4
Goodenia corynocarpa,1301869.284,156
Goodenia cravenii,16942.36328,40
Goodenia crenata,38977.96653,44
Goodenia cusackiana,383952.7859,180
Goodenia cycloptera,3271571.672,2228
Goodenia cylindrocarpa,190537.2366,40
Goodenia debilis,543971.1487,108
Goodenia decurrens,17858.1409,168
Goodenia decursiva,15203.67994,144
Goodenia delicata,433993.9062,360
Goodenia dimorpha,387.8034508,16
Goodenia dimorpha var. angustifolia,73.88757028,12
Goodenia dimorpha var. dimorpha,57.96210965,12
Goodenia disperma,224050.9016,124
Goodenia drummondii,18001.32641,28
Goodenia drummondii subsp. drummondii,27131.52159,84
Goodenia drummondii subsp. megaphylla,7228.671211,80
Goodenia durackiana,30358.59242,20
Goodenia dyeri,45555.69001,44
Goodenia eatoniana,27830.15116,292
Goodenia effusa,43142.02147,84
Goodenia elaiosoma,7776.990555,28
Goodenia elderi,173836.6834,116
Goodenia elongata,346558.5537,444
Goodenia eremophila,890198.83,104
Goodenia expansa,332720.3761,52
Goodenia fascicularis,3659334.066,3476
Goodenia fasciculata,165913.4342,168
Goodenia faucium,196.2546241,52
Goodenia filiformis,1323583.48,160
Goodenia fordiana,10869.23114,84
Goodenia forrestii,170633.3866,208
Goodenia geniculata,374258.6332,1404
Goodenia gibbosa,467105.2353,356
Goodenia glabra,3703260.328,1384
Goodenia glandulosa,1447680.389,180
Goodenia glareicola,148643.9084,168
Goodenia glauca,1588310.773,588
Goodenia gloeophylla,66478.45057,128
Goodenia glomerata,24174.89436,88
Goodenia goodeniacea,1673539.376,240
Goodenia gracilis,3029975.148,632
Goodenia grandiflora,4854132.314,1152
Goodenia granitica,795.3828372,20
Goodenia gypsicola,290425.2408,68
Goodenia halophila,95413.64903,52
Goodenia hartiana,83281.09276,64
Goodenia hassallii,49058.05599,132
Goodenia havilandii,3760852.971,944
Goodenia heatheriana,158.0447969,20
Goodenia hederacea,509474.9798,312
Goodenia hederacea subsp. alpestris,187804.9276,436
Goodenia hederacea subsp. hederacea,780502.7433,1124
Goodenia helmsii,208720.6944,372
Goodenia heppleana,330258.4218,272
Goodenia heterochila,4047688.211,984
Goodenia heteromera,1626064.766,524
Goodenia heterophylla,1511361.557,196
Goodenia heterophylla subsp. eglandulosa,153166.8115,324
Goodenia heterophylla subsp. heterophylla,377339.861,204
Goodenia heterophylla subsp. montana,19223.85179,136
Goodenia heterophylla subsp. teucriifolia,1908.547357,40
Goodenia heterotricha,586.3792767,12
Goodenia hirsuta,2070458.064,324
Goodenia hirsuta subsp. Run-on areas (P.K.Latz 1216),NA,8
Goodenia hispida,383699.8343,356
Goodenia holtzeana,441317.9584,820
Goodenia humilis,511534.3376,568
Goodenia incana,270154.4779,428
Goodenia integerrima,0,8
Goodenia inundata,2974.261626,32
Goodenia iyouta,208760.3802,96
Goodenia janamba,1412122.479,680
Goodenia jaurdiensis,639.6114057,16
Goodenia kakadu,369318.1686,32
Goodenia katabudjar,415.0343652,12
Goodenia kingiana,53629.43136,124
Goodenia krauseana,555496.6081,132
Goodenia laevis,20412.95231,20
Goodenia laevis subsp. humifusa,23901.47577,180
Goodenia laevis subsp. laevis,16076.78023,52
Goodenia lamprosperma,3056506.115,1256
Goodenia lanata,342672.5359,484
Goodenia lancifolia,12025.55062,52
Goodenia larapinta,145778.6803,244
Goodenia leiosperma,695002.8893,440
Goodenia leptoclada,19320.24896,100
Goodenia lineata,29513.19294,88
Goodenia lobata,106301.9318,68
Goodenia lunata,2799565.669,2056
Goodenia lyrata,284921.8943,52
Goodenia macbarronii,1561705.194,412
Goodenia macmillanii,6309.756917,52
Goodenia macroplectra,347177.334,284
Goodenia maideniana,1229819.52,204
Goodenia malvina,233822.7879,80
Goodenia maretensis,0,8
Goodenia megasepala,61368.98273,40
Goodenia micrantha,775874.5251,304
Goodenia microptera,1781278.041,612
Goodenia mimuloides,880239.805,576
Goodenia minutiflora,460977.3109,120
Goodenia modesta,1865456.771,516
Goodenia mueckeana,961245.2076,528
Goodenia muelleriana,200165.4557,344
Goodenia neglecta,46745.01116,120
Goodenia neogoodenia,80769.72322,52
Goodenia nigrescens,134138.5184,60
Goodenia nocoleche,0,4
Goodenia nuda,265953.5098,296
Goodenia occidentalis,2771330.237,624
Goodenia ochracea,6011.282475,44
Goodenia odonnellii,1167397.059,660
Goodenia ovata,1991810.727,2576
Goodenia pallida,NA,4
Goodenia paniculata,1582420.675,680
Goodenia pascua,345802.3793,140
Goodenia peacockiana,263878.6443,152
Goodenia pedicellata,56.76533226,12
Goodenia perryi,9679.871319,36
Goodenia phillipsiae,463.2568808,32
Goodenia pilosa,1959734.192,1416
Goodenia pinifolia,150159.5449,372
Goodenia pinnatifida,3147888.534,3304
Goodenia porphyrea,94552.3665,144
Goodenia potamica,2564.65379,28
Goodenia prostrata,438678.0129,292
Goodenia psammophila,22930.36127,28
Goodenia psammophila subsp. hiddinsiana,21750.54192,20
Goodenia psammophila subsp. psammophila,13960.26684,44
Goodenia pterigosperma,63065.64918,252
Goodenia pulchella,350993.8378,676
Goodenia pulchella subsp. Coastal Plain A (M.Hislop 634),33792.28064,88
Goodenia pulchella subsp. Coastal Plain B (L.W.Sage 2336),81478.28374,84
Goodenia pulchella subsp. Dragon Rocks (A.M.Coates 3374),NA,4
Goodenia pulchella subsp. Mt Barker (K.F.Kenneally 1166),16282.9397,80
Goodenia pulchella subsp. Wheatbelt (L.W.Sage & F.Hort 795),120684.5743,152
Goodenia pumilio,1342870.102,512
Goodenia purpurascens,2163043.794,1024
Goodenia purpurea,18278.95208,100
Goodenia pusilla,79665.68685,160
Goodenia pusilliflora,3510083.747,1656
Goodenia quadrifida,205.2749834,16
Goodenia quadrilocularis,3.999929061,16
Goodenia quasilibera,815413.8314,160
Goodenia racemosa,45855.21718,44
Goodenia racemosa var. latifolia,55.53524797,28
Goodenia racemosa var. racemosa,72058.88511,128
Goodenia ramelii,2056039.347,760
Goodenia redacta,840725.9101,248
Goodenia robusta,793901.0466,808
Goodenia rostrivalvis,268.7042526,32
Goodenia rosulata,375542.3922,252
Goodenia rotundifolia,534684.3705,888
Goodenia rupestris,229.8583922,16
Goodenia saccata,4411.898302,68
Goodenia salina,30619.78991,24
Goodenia scaevolina,2575083.043,572
Goodenia scapigera,182965.3114,324
Goodenia scapigera subsp. graniticola,51.82624823,12
Goodenia scapigera subsp. scapigera,197144.2625,548
Goodenia schwerinensis,164609.0373,76
Goodenia sepalosa,724630.9838,156
Goodenia sepalosa var. glandulosa,57502.8419,52
Goodenia sepalosa var. sepalosa,512208.1311,468
Goodenia sericostachya,7898.699231,32
Goodenia sp. Bachsten Creek (M.D.Barrett 685),13294.1322,36
Goodenia sp. Beyondie (L.W.Sage & S.J.van Leeuwen LWS 2518),NA,8
Goodenia sp. Carnarvon Range (D.J.Edinger Nats 30),32.75426266,16
Goodenia sp. Dampier Peninsula (B.J.Carter 675),67348.43947,20
Goodenia sp. Great Sandy Desert (D.E.Albrecht 10517),NA,4
Goodenia sp. Melville Island (N.B.Byrnes 666),135811.7943,132
Goodenia sp. Mount Bomford (M.D.Barrett 423),10524.31488,24
Goodenia sp. Mt Castletower (M.D.Crisp 2753),230543.6358,304
Goodenia sp. Mt Elvire (D.J.Edinger 1857),NA,4
Goodenia sp. Sandy Creek (R.D.Royce 1653),50200.34611,56
Goodenia sp. Stirling Range (R.Cranfield & D.Kabay 9148),NA,4
Goodenia splendida,6797.818958,40
Goodenia stellata,252697.6781,116
Goodenia stelligera,200385.1332,460
Goodenia stenophylla,42760.78365,52
Goodenia stephensonii,136379.9214,48
Goodenia stirlingii,962.6644675,52
Goodenia stobbsiana,623678.0973,344
Goodenia strangfordii,1269847.512,376
Goodenia subauriculata,114582.4285,36
Goodenia suffrutescens,23120.81629,28
Goodenia symonii,152516.9468,132
Goodenia tenuiloba,843393.6026,548
Goodenia trichophylla,193736.5578,116
Goodenia triodiophila,3000167.261,1028
Goodenia tripartita,154147.3875,228
Goodenia turleyae,464.7031125,12
Goodenia valdentata,201.6693092,32
Goodenia varia,701817.872,1524
Goodenia vernicosa,73973.11143,300
Goodenia vilmoriniae,1506255.792,740
Goodenia virgata,706948.7618,168
Goodenia viridula,212902.6831,192
Goodenia viscida,81859.92676,140
Goodenia viscidula,297944.4504,88
Goodenia watsonii,11955.4906,24
Goodenia watsonii subsp. glandulosa,24042.93453,88
Goodenia watsonii subsp. watsonii,83337.932,128
Goodenia willisiana,651394.0076,1624
Goodenia wilunensis,208048.2116,152
Goodenia xanthosperma,462162.4976,252
Goodenia xanthotricha,1859.689474,24
Goodia lotifolia,1065052.248,1040
Goodia macrocarpa,16606.44419,60
Goodia medicaginea,1879242.635,1076
Goodia parviflora,3228.524054,20
Goodia pubescens,633363.6153,228
Goodia stenocarpa,5737.596413,20
Goodyera grandis,NA,4
Goodyera viridiflora,8557.294599,40
Gossia acmenoides,338156.8653,252
Gossia bamagensis,27655.9299,88
Gossia bidwillii,586329.0507,1144
Gossia byrnesii,NA,8
Gossia dallachiana,91169.12653,276
Gossia floribunda,148518.4035,348
Gossia fragrantissima,6888.752224,124
Gossia gonoclada,192.6372546,52
Gossia grayi,29015.81684,120
Gossia hillii,188215.9673,272
Gossia inophloia,4772.748554,80
Gossia lewisensis,1089.144582,116
Gossia lucida,21759.32687,132
Gossia macilwraithensis,16235.78998,96
Gossia myrsinocarpa,84671.03898,480
Gossia pubiflora,973.8779822,96
Gossia punctata,23851.30653,144
Gossia retusa,110222.6445,148
Gossia sankowskyorum,16958.09819,120
Gossia shepherdii,18026.92354,220
Gossypium anapoides,59.68500496,12
Gossypium australe,4992676.868,3340
Gossypium bickii,441502.2378,468
Gossypium costulatum,30924.99304,92
Gossypium cunninghamii,19937.14022,120
Gossypium enthyle,3868.535653,36
Gossypium exiguum,24033.99732,108
Gossypium londonderriense,7540.720126,32
Gossypium marchantii,2804.098189,24
Gossypium nelsonii,412675.107,332
Gossypium nobile,6312.618723,124
Gossypium pilosum,6039.730646,52
Gossypium populifolium,90509.15299,152
Gossypium pulchellum,894.0609991,16
Gossypium robinsonii,2264095.756,468
Gossypium rotundifolium,111311.0477,244
Gossypium sturtianum,4198092.79,620
Gossypium sturtianum var. nandewarense,628165.3174,20
Gossypium sturtianum var. sturtianum,3642669.476,784
Gouania australiana,17371.19112,128
Gouania exilis,11712.56695,76
Grammitis stenophylla,809312.8047,380
Grammosolen dixonii,149948.3353,472
Grammosolen sp. Mt Ridley (W.R.Archer 1210911),NA,4
Grammosolen truncatus,164887.1298,296
Granitites intangendus,107896.462,108
Graptophyllum excelsum,178325.9615,168
Graptophyllum ilicifolium,8336.511029,40
Graptophyllum reticulatum,19.7589996,16
Graptophyllum spinigerum,1832283.524,224
Grastidium tozerense,15711.46394,16
Gratiola nana,258522.737,344
Gratiola pedunculata,4904775.512,560
Gratiola peruviana,5136544.271,1228
Gratiola pubescens,2847315.462,748
Gratiola pumilo,1023419.753,368
Gratwickia monochaeta,197956.3257,196
Grevillea acacioides,367049.3426,604
Grevillea acanthifolia,83.86454574,16
Grevillea acanthifolia subsp. acanthifolia,12041.6774,124
Grevillea acanthifolia subsp. paludosa,72.3462431,12
Grevillea acanthifolia subsp. stenomera,6462.015669,116
Grevillea acerata,10431.75961,104
Grevillea acrobotrya,1148.144046,68
Grevillea acropogon,0,8
Grevillea acuaria,355100.0309,1164
Grevillea adenotricha,6262.193679,36
Grevillea agrifolia,217719.3429,184
Grevillea agrifolia subsp. agrifolia,235587.4159,756
Grevillea agrifolia subsp. microcarpa,61941.86544,108
Grevillea albiflora,669100.2719,180
Grevillea alpina,145506.8529,1152
Grevillea alpivaga,34.40808853,40
Grevillea althoferorum,394.3955424,12
Grevillea althoferorum subsp. althoferorum,107.0101377,16
Grevillea althoferorum subsp. fragilis,0,8
Grevillea amplexans,4628.285239,68
Grevillea amplexans subsp. adpressa,1554.940824,28
Grevillea amplexans subsp. amplexans,7827.994617,112
Grevillea amplexans subsp. semivestita,1868.792836,40
